docId,filename,primary topics, primary appears, secondary topics, secondary appears, tertiary topics, tertiary appears, quaternary topics, quaternary appears
126,null-source,12,0.171,14,0.144,8,0.139,4,0.133
127,null-source,5,0.182,15,0.166,1,0.124,13,0.105
128,null-source,8,0.365,4,0.149,13,0.096,9,0.069
129,null-source,4,0.261,10,0.218,6,0.148,14,0.077
130,null-source,4,0.189,15,0.122,7,0.122,5,0.098
131,null-source,8,0.210,4,0.202,2,0.130,9,0.113
132,null-source,9,0.239,1,0.112,4,0.084,10,0.080
133,null-source,12,0.191,4,0.126,1,0.098,6,0.077
134,null-source,5,0.402,13,0.122,9,0.092,12,0.087
135,null-source,5,0.307,1,0.158,7,0.101,13,0.092
136,null-source,14,0.169,8,0.144,2,0.102,9,0.093
137,null-source,8,0.169,4,0.113,6,0.102,12,0.096
138,null-source,15,0.242,6,0.150,7,0.142,1,0.125
139,null-source,15,0.135,5,0.135,7,0.108,13,0.102
140,null-source,7,0.560,4,0.187,3,0.058,,
141,null-source,14,0.265,8,0.116,4,0.116,2,0.100
142,null-source,7,0.526,4,0.146,3,0.070,,
143,null-source,12,0.152,6,0.110,7,0.104,14,0.098
144,null-source,7,0.238,6,0.098,4,0.098,15,0.090
145,null-source,12,0.223,14,0.209,8,0.132,2,0.099
146,null-source,5,0.148,7,0.139,3,0.108,13,0.102
147,null-source,7,0.363,4,0.146,6,0.066,10,0.061
148,null-source,14,0.223,8,0.129,12,0.115,6,0.078
149,null-source,8,0.276,4,0.104,13,0.077,12,0.077
150,null-source,6,0.155,5,0.141,1,0.139,15,0.122
151,null-source,6,0.171,4,0.128,10,0.111,15,0.090
152,null-source,12,0.201,13,0.165,11,0.124,15,0.093
153,null-source,15,0.158,5,0.158,1,0.149,6,0.124
154,null-source,10,0.294,9,0.214,6,0.144,1,0.090
155,null-source,5,0.282,4,0.124,7,0.105,1,0.093
156,null-source,7,0.200,2,0.130,14,0.110,13,0.070
157,null-source,1,0.197,15,0.185,6,0.133,7,0.085
158,null-source,14,0.296,12,0.133,6,0.074,4,0.074
159,null-source,9,0.263,10,0.147,8,0.130,2,0.130
160,null-source,8,0.182,13,0.152,12,0.152,11,0.091
161,null-source,6,0.166,10,0.142,15,0.119,14,0.095
162,null-source,14,0.174,12,0.163,2,0.135,8,0.084
163,null-source,6,0.246,3,0.139,15,0.111,9,0.090
164,null-source,4,0.281,7,0.124,6,0.097,3,0.086
165,null-source,2,0.180,7,0.104,5,0.104,6,0.095
166,null-source,14,0.157,12,0.132,7,0.127,1,0.107
167,null-source,7,0.470,6,0.140,4,0.080,3,0.070
168,null-source,8,0.213,12,0.210,14,0.115,13,0.059
169,null-source,12,0.406,15,0.104,14,0.073,8,0.063
170,null-source,1,0.218,5,0.169,4,0.099,7,0.091
171,null-source,4,0.266,10,0.234,6,0.149,15,0.065
172,null-source,7,0.421,12,0.263,14,0.053,13,0.053
173,null-source,4,0.245,8,0.103,3,0.103,2,0.103
174,null-source,5,0.163,14,0.129,7,0.129,12,0.121
175,null-source,3,0.159,13,0.119,14,0.113,12,0.106
176,null-source,12,0.276,8,0.175,14,0.118,2,0.080
177,null-source,12,0.163,5,0.134,1,0.124,14,0.099
178,null-source,5,0.162,1,0.120,3,0.111,14,0.107
179,null-source,5,0.278,1,0.193,7,0.131,15,0.091
180,null-source,12,0.302,5,0.260,1,0.233,13,0.079
181,null-source,7,0.320,14,0.200,2,0.160,12,0.080
182,null-source,7,0.320,14,0.160,11,0.120,9,0.120
183,null-source,5,0.220,3,0.140,14,0.120,2,0.120
184,null-source,7,0.423,13,0.115,3,0.115,12,0.077
185,null-source,14,0.339,2,0.223,12,0.159,7,0.073
186,null-source,8,0.333,11,0.167,7,0.167,12,0.083
187,null-source,2,0.188,8,0.167,14,0.146,7,0.146
188,null-source,8,0.176,7,0.135,3,0.135,1,0.135
189,null-source,15,0.408,7,0.088,9,0.068,10,0.067
190,null-source,4,0.211,15,0.171,10,0.145,7,0.132
191,null-source,7,0.225,9,0.178,12,0.085,15,0.080
192,null-source,9,0.421,7,0.368,10,0.105,15,0.053
193,null-source,6,0.207,10,0.195,7,0.146,5,0.085
194,null-source,7,0.156,9,0.114,3,0.103,15,0.095
195,null-source,1,0.174,12,0.141,2,0.141,5,0.120
196,null-source,7,0.500,14,0.125,8,0.125,2,0.125
197,null-source,9,0.190,12,0.131,7,0.131,3,0.095
198,null-source,3,0.805,,,,,,
199,null-source,7,0.233,14,0.209,12,0.140,15,0.070
200,null-source,15,0.099,9,0.099,7,0.099,14,0.091
201,null-source,9,0.344,10,0.273,7,0.069,4,0.056
202,null-source,7,0.203,13,0.172,9,0.109,5,0.094
203,null-source,14,0.357,7,0.357,4,0.143,12,0.071
204,null-source,7,0.250,9,0.188,10,0.125,8,0.125
205,null-source,9,0.315,15,0.119,10,0.116,1,0.102
206,null-source,14,0.282,5,0.128,7,0.103,9,0.090
207,null-source,9,0.198,1,0.127,14,0.092,15,0.084
208,null-source,14,0.283,7,0.151,13,0.085,2,0.085
209,null-source,6,0.146,10,0.117,4,0.110,15,0.100
210,null-source,5,0.162,12,0.135,8,0.135,3,0.108
211,null-source,15,0.167,13,0.167,10,0.167,14,0.125
212,null-source,5,0.368,7,0.338,6,0.059,1,0.059
213,null-source,7,0.184,2,0.184,12,0.163,9,0.143
214,null-source,1,0.185,9,0.130,5,0.130,6,0.120
215,null-source,7,0.364,2,0.227,12,0.136,14,0.091
216,null-source,7,0.220,2,0.203,15,0.119,14,0.102
217,null-source,14,0.219,7,0.188,6,0.125,12,0.094
218,null-source,10,0.138,9,0.138,7,0.138,3,0.138
219,null-source,15,0.227,7,0.197,1,0.105,13,0.088
220,null-source,5,0.398,1,0.133,7,0.105,13,0.072
221,null-source,7,0.333,12,0.185,8,0.111,2,0.111
222,null-source,6,0.188,7,0.156,5,0.125,3,0.094
223,null-source,2,0.250,7,0.188,13,0.125,3,0.125
224,null-source,15,0.125,12,0.125,9,0.125,7,0.125
225,null-source,5,0.515,7,0.162,6,0.051,3,0.051
226,null-source,7,0.662,3,0.105,6,0.060,,
227,null-source,7,0.241,1,0.164,3,0.094,6,0.074
228,null-source,7,0.362,1,0.130,14,0.101,13,0.087
229,null-source,7,0.433,1,0.167,4,0.100,15,0.067
230,null-source,7,0.434,4,0.091,15,0.081,6,0.071
231,null-source,7,0.333,12,0.167,14,0.111,13,0.111
232,null-source,9,0.250,7,0.250,3,0.143,10,0.107
233,null-source,7,0.200,4,0.200,13,0.133,10,0.133
234,null-source,10,0.353,7,0.235,9,0.118,15,0.059
235,null-source,7,0.219,15,0.209,9,0.136,1,0.100
236,null-source,9,0.264,10,0.218,7,0.100,15,0.089
